state,district,crop,modal_price,min_price,max_price,date,month,day_of_week,price_lag_1,price_lag_7,price_lag_30,rolling_mean_7,rolling_std_7,price_direction
Gujarat,Amreli,Cotton,7175.0,,,2017-01-26 00:09:21.221315,1,3,6895.0,7175.0,7175.0,7035.0,197.9898987322333,1
Gujarat,Amreli,Arhar (Tur/Red Gram)(Whole),8525.0,,,2017-01-27 00:09:21.221315,1,4,8250.0,8525.0,8525.0,8387.5,194.45436482630058,1
Gujarat,Amreli,Bengal Gram(Gram)(Whole),4585.0,,,2017-01-28 00:09:21.221315,1,5,4900.0,4585.0,4585.0,4742.5,222.73863607376248,0
Gujarat,Amreli,Cotton,5850.0,,,2017-01-29 00:09:21.221315,1,6,7175.0,5850.0,5850.0,6640.0,698.3373110467462,0
Gujarat,Amreli,Jowar(Sorghum),3360.0,,,2017-01-30 00:09:21.221315,1,0,4375.0,3360.0,3360.0,3867.5,717.7133829043457,0
Gujarat,Amreli,Bajra(Pearl Millet/Cumbu),2003.0,,,2017-01-31 00:09:21.221315,1,1,2003.0,2003.0,2003.0,2003.0,0.0,0
Gujarat,Amreli,Bengal Gram(Gram)(Whole),4593.0,,,2017-02-01 00:09:21.221315,2,2,4585.0,4593.0,4593.0,4692.666666666667,179.6004825531751,1
Gujarat,Amreli,Cotton,6903.0,,,2017-02-02 00:09:21.221315,2,3,5850.0,6903.0,6903.0,6705.75,585.1571726183203,1
Gujarat,Amreli,Jowar(Sorghum),3600.0,,,2017-02-03 00:09:21.221315,2,4,3360.0,3600.0,3600.0,3778.3333333333335,530.4793429845628,1
Gujarat,Amreli,Wheat,2503.0,,,2017-02-04 00:09:21.221315,2,5,2480.0,2503.0,2503.0,2512.6666666666665,38.423083339749454,1
Gujarat,Amreli,Wheat,2460.0,,,2017-02-05 00:09:21.221315,2,6,2503.0,2460.0,2460.0,2499.5,40.9593294215941,0
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),2225.0,,,2017-02-06 00:09:21.221315,2,0,2225.0,2225.0,2225.0,2225.0,0.0,0
Gujarat,Banaskanth,Mustard,5305.0,,,2017-02-07 00:09:21.221315,2,1,5305.0,5305.0,5305.0,5305.0,0.0,0
Gujarat,Banaskanth,Wheat,2175.0,,,2017-02-08 00:09:21.221315,2,2,2175.0,2175.0,2175.0,2175.0,0.0,0
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),2250.0,,,2017-02-09 00:09:21.221315,2,3,2225.0,2250.0,2250.0,2237.5,17.67766952966369,1
Gujarat,Banaskanth,Wheat,2200.0,,,2017-02-10 00:09:21.221315,2,4,2175.0,2200.0,2200.0,2187.5,17.67766952966369,1
Gujarat,Banaskanth,Gram Raw(Chholia),8525.0,,,2017-02-11 00:09:21.221315,2,5,8525.0,8525.0,8525.0,8525.0,0.0,0
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),2185.0,,,2017-02-12 00:09:21.221315,2,6,2250.0,2185.0,2185.0,2220.0,32.78719262151,0
Gujarat,Banaskanth,Mustard,5260.0,,,2017-02-13 00:09:21.221315,2,0,5305.0,5260.0,5260.0,5282.5,31.81980515339464,0
Gujarat,Banaskanth,Wheat,2030.0,,,2017-02-14 00:09:21.221315,2,1,2200.0,2030.0,2030.0,2135.0,91.7877987534291,0
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),2005.0,,,2017-02-15 00:09:21.221315,2,2,2185.0,2005.0,2005.0,2166.25,110.78319668012233,0
Gujarat,Banaskanth,Mustard,5255.0,,,2017-02-16 00:09:21.221315,2,3,5260.0,5255.0,5255.0,5273.333333333333,27.537852736430434,0
Gujarat,Banaskanth,Wheat,2232.0,,,2017-02-17 00:09:21.221315,2,4,2030.0,2232.0,2232.0,2159.25,89.26878887196055,1
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),1967.5,,,2017-02-18 00:09:21.221315,2,5,2005.0,1967.5,1967.5,2126.5,130.78608488673405,0
Gujarat,Banaskanth,Mustard,5182.5,,,2017-02-19 00:09:21.221315,2,6,5255.0,5182.5,5182.5,5250.625,50.67769890855994,0
Gujarat,Banaskanth,Wheat,2250.0,,,2017-02-20 00:09:21.221315,2,0,2232.0,2250.0,2250.0,2177.4,87.31437453249033,1
Gujarat,Bharuch,Arhar (Tur/Red Gram)(Whole),7600.0,,,2017-02-21 00:09:21.221315,2,1,7600.0,7600.0,7600.0,7600.0,0.0,0
Gujarat,Bharuch,Bajra(Pearl Millet/Cumbu),2400.0,,,2017-02-22 00:09:21.221315,2,2,2400.0,2400.0,2400.0,2400.0,0.0,0
Gujarat,Bharuch,Cotton,5800.0,,,2017-02-23 00:09:21.221315,2,3,5800.0,5800.0,5800.0,5800.0,0.0,0
Gujarat,Bharuch,Jowar(Sorghum),2800.0,,,2017-02-24 00:09:21.221315,2,4,2800.0,2800.0,2800.0,2800.0,0.0,0
Gujarat,Bharuch,Maize,2200.0,,,2017-02-25 00:09:21.221315,2,5,2200.0,2200.0,2200.0,2200.0,0.0,0
Gujarat,Bharuch,Wheat,3200.0,,,2017-02-26 00:09:21.221315,2,6,3200.0,3200.0,3200.0,3200.0,0.0,0
Gujarat,Bharuch,Arhar (Tur/Red Gram)(Whole),7600.0,,,2017-02-27 00:09:21.221315,2,0,7600.0,7600.0,7600.0,7600.0,0.0,0
Gujarat,Bharuch,Bajra(Pearl Millet/Cumbu),2200.0,,,2017-02-28 00:09:21.221315,2,1,2400.0,2200.0,2200.0,2300.0,141.4213562373095,0
Gujarat,Bharuch,Cotton,5600.0,,,2017-03-01 00:09:21.221315,3,2,5800.0,5600.0,5600.0,5700.0,141.4213562373095,0
Gujarat,Bharuch,Jowar(Sorghum),2600.0,,,2017-03-02 00:09:21.221315,3,3,2800.0,2600.0,2600.0,2700.0,141.4213562373095,0
Gujarat,Bharuch,Maize,2000.0,,,2017-03-03 00:09:21.221315,3,4,2200.0,2000.0,2000.0,2100.0,141.4213562373095,0
Gujarat,Botad,Cotton,6955.0,,,2017-03-04 00:09:21.221315,3,5,6955.0,6955.0,6955.0,6955.0,0.0,0
Gujarat,Dahod,Arhar (Tur/Red Gram)(Whole),7800.0,,,2017-03-05 00:09:21.221315,3,6,7800.0,7800.0,7800.0,7800.0,0.0,0
Gujarat,Dahod,Arhar (Tur/Red Gram)(Whole),8000.0,,,2017-03-06 00:09:21.221315,3,0,7800.0,8000.0,8000.0,7900.0,141.4213562373095,1
Gujarat,Dahod,Bengal Gram(Gram)(Whole),5075.0,,,2017-03-07 00:09:21.221315,3,1,5075.0,5075.0,5075.0,5075.0,0.0,0
Gujarat,Dahod,Bengal Gram(Gram)(Whole),5200.0,,,2017-03-08 00:09:21.221315,3,2,5075.0,5200.0,5200.0,5137.5,88.38834764831844,1
Gujarat,Dahod,Black Gram (Urd Beans)(Whole),7700.0,,,2017-03-09 00:09:21.221315,3,3,7700.0,7700.0,7700.0,7700.0,0.0,0
Gujarat,Dahod,Green Gram (Moong)(Whole),7800.0,,,2017-03-10 00:09:21.221315,3,4,7800.0,7800.0,7800.0,7800.0,0.0,0
Gujarat,Dahod,Maize,2600.0,,,2017-03-11 00:09:21.221315,3,5,2600.0,2600.0,2600.0,2600.0,0.0,0
Gujarat,Dahod,Maize,2200.0,,,2017-03-12 00:09:21.221315,3,6,2600.0,2200.0,2200.0,2400.0,282.842712474619,0
Gujarat,Dahod,Paddy(Dhan)(Common),1885.0,,,2017-03-13 00:09:21.221315,3,0,1885.0,1885.0,1885.0,1885.0,0.0,0
Gujarat,Dahod,Paddy(Dhan)(Common),2100.0,,,2017-03-14 00:09:21.221315,3,1,1885.0,2100.0,2100.0,1992.5,152.02795795510772,1
Gujarat,Dahod,Wheat,2700.0,,,2017-03-15 00:09:21.221315,3,2,2700.0,2700.0,2700.0,2700.0,0.0,0
