state,district,crop,modal_price,min_price,max_price,date
Gujarat,Jamnagar,Jowar(Sorghum),4225.0,,,
Gujarat,Jamnagar,Wheat,2380.0,,,
Gujarat,Junagarh,Bajra(Pearl Millet/Cumbu),2125.0,,,
Gujarat,Junagarh,Black Gram (Urd Beans)(Whole),8600.0,,,
Gujarat,Junagarh,Wheat,2475.0,,,
Gujarat,Junagarh,Arhar (Tur/Red Gram)(Whole),8690.0,,,
Gujarat,Junagarh,Green Gram (Moong)(Whole),7315.0,,,
Gujarat,Junagarh,Kulthi(Horse Gram),4745.0,,,
Gujarat,Junagarh,Wheat,2425.0,,,
Gujarat,Mehsana,Bajra(Pearl Millet/Cumbu),2250.0,,,
Gujarat,Mehsana,Mustard,5290.0,,,
Gujarat,Mehsana,Paddy(Dhan)(Common),2200.0,,,
Gujarat,Mehsana,Wheat,2450.0,,,
Gujarat,Morbi,Wheat,2350.0,,,
Gujarat,Patan,Wheat,2125.0,,,
Gujarat,Patan,Bajra(Pearl Millet/Cumbu),1940.0,,,
Gujarat,Patan,Jowar(Sorghum),5577.0,,,
Gujarat,Patan,Mustard,5327.0,,,
Gujarat,Patan,Wheat,2367.0,,,
Gujarat,Porbandar,Bajra(Pearl Millet/Cumbu),2205.0,,,
Gujarat,Porbandar,Green Gram (Moong)(Whole),8315.0,,,
Gujarat,Porbandar,Kulthi(Horse Gram),4350.0,,,
Gujarat,Porbandar,Wheat,1990.0,,,
Gujarat,Porbandar,Wheat,2280.0,,,
Gujarat,Rajkot,Arhar (Tur/Red Gram)(Whole),9305.0,,,
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),4980.0,,,
Gujarat,Rajkot,Wheat,2465.0,,,
Gujarat,Rajkot,Arhar (Tur/Red Gram)(Whole),7000.0,,,
Gujarat,Rajkot,Bajra(Pearl Millet/Cumbu),1940.0,,,
Gujarat,Rajkot,Cotton,7075.0,,,
Gujarat,Rajkot,Green Gram (Moong)(Whole),6750.0,,,
Gujarat,Rajkot,Jowar(Sorghum),4250.0,,,
Gujarat,Rajkot,Maize,2605.0,,,
Gujarat,Rajkot,Mustard,4900.0,,,
Gujarat,Rajkot,Wheat,2175.0,,,
Gujarat,Rajkot,Wheat,2225.0,,,
Gujarat,Rajkot,Cotton,6960.0,,,
Gujarat,Rajkot,Bajra(Pearl Millet/Cumbu),2265.0,,,
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),4305.0,,,
Gujarat,Rajkot,Cotton,6000.0,,,
Gujarat,Rajkot,Jowar(Sorghum),3520.0,,,
Gujarat,Rajkot,Wheat,2330.0,,,
Gujarat,Rajkot,Arhar (Tur/Red Gram)(Whole),8250.0,,,
Gujarat,Rajkot,Bajra(Pearl Millet/Cumbu),2075.0,,,
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),4900.0,,,
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),11750.0,,,
Gujarat,Rajkot,Black Gram (Urd Beans)(Whole),7680.0,,,
Gujarat,Rajkot,Cotton,7200.0,,,
Gujarat,Rajkot,Green Gram (Moong)(Whole),8125.0,,,
Gujarat,Rajkot,Jowar(Sorghum),4750.0,,,
Gujarat,Rajkot,Mustard,5100.0,,,
Gujarat,Rajkot,Wheat,2335.0,,,
Gujarat,Rajkot,Wheat,2450.0,,,
Gujarat,Sabarkantha,Wheat,2350.0,,,
Gujarat,Surat,Pegeon Pea (Arhar Fali),12500.0,,,
Gujarat,Surendranagar,Cotton,7000.0,,,
Gujarat,Surendranagar,Wheat,2400.0,,,
Gujarat,Surendranagar,Cotton,7025.0,,,
Gujarat,Surendranagar,Mustard,6900.0,,,
Gujarat,Surendranagar,Wheat,2450.0,,,
Karnataka,Haveri,Maize,2050.0,,,
Karnataka,Kolar,Paddy(Dhan)(Common),2080.0,,,
Karnataka,Raichur,Paddy(Dhan)(Common),3005.0,,,
Karnataka,Shimoga,Arhar Dal(Tur Dal),11750.0,,,
Karnataka,Shimoga,Bengal Gram Dal (Chana Dal),6750.0,,,
Karnataka,Shimoga,Bengal Gram(Gram)(Whole),5850.0,,,
Karnataka,Shimoga,Black Gram Dal (Urd Dal),11900.0,,,
Karnataka,Shimoga,Green Gram (Moong)(Whole),11000.0,,,
Karnataka,Shimoga,Green Gram Dal (Moong Dal),12000.0,,,
Karnataka,Shimoga,Jowar(Sorghum),3750.0,,,
Karnataka,Shimoga,Kulthi(Horse Gram),6500.0,,,
Karnataka,Shimoga,Maize,2100.0,,,
Karnataka,Shimoga,Mustard,7500.0,,,
Karnataka,Shimoga,Wheat,5250.0,,,
Madhya Pradesh,Ashoknagar,Wheat,2125.0,,,
Madhya Pradesh,Bhopal,Green Gram (Moong)(Whole),5615.0,,,
Madhya Pradesh,Dewas,Arhar (Tur/Red Gram)(Whole),8000.0,,,
Madhya Pradesh,Dewas,Green Gram (Moong)(Whole),7100.0,,,
Madhya Pradesh,Dewas,Wheat,2361.0,,,
Madhya Pradesh,Jhabua,Wheat,2115.0,,,
Madhya Pradesh,Panna,Bengal Gram(Gram)(Whole),5030.0,,,
Madhya Pradesh,Panna,Lentil (Masur)(Whole),5325.0,,,
Madhya Pradesh,Panna,Wheat,2120.0,,,
Madhya Pradesh,Panna,Wheat,2025.0,,,
Madhya Pradesh,Rajgarh,Bengal Gram(Gram)(Whole),4335.0,,,
Madhya Pradesh,Rajgarh,Lentil (Masur)(Whole),5700.0,,,
Madhya Pradesh,Rajgarh,Mustard,5100.0,,,
Madhya Pradesh,Rajgarh,Wheat,2305.0,,,
Madhya Pradesh,Ratlam,Wheat,2500.0,,,
Madhya Pradesh,Shajapur,Bengal Gram(Gram)(Whole),4250.0,,,
Madhya Pradesh,Shajapur,Bengal Gram(Gram)(Whole),5485.0,,,
Madhya Pradesh,Shajapur,Lentil (Masur)(Whole),5490.0,,,
Madhya Pradesh,Shajapur,Mustard,5090.0,,,
Madhya Pradesh,Shajapur,Wheat,2290.0,,,
Madhya Pradesh,Shajapur,Wheat,2090.0,,,
Madhya Pradesh,Shajapur,Wheat,2780.0,,,
Madhya Pradesh,Sheopur,Mustard,5210.0,,,
Madhya Pradesh,Sidhi,Lentil (Masur)(Whole),5000.0,,,
Maharashtra,Amarawati,Wheat,2300.0,,,
Maharashtra,Aurangabad,Arhar (Tur/Red Gram)(Whole),6400.0,,,
Maharashtra,Aurangabad,Bajra(Pearl Millet/Cumbu),2335.0,,,
Maharashtra,Aurangabad,Jowar(Sorghum),4000.0,,,
Maharashtra,Aurangabad,Wheat,2361.0,,,
Maharashtra,Chandrapur,Paddy(Dhan)(Common),2800.0,,,
Maharashtra,Jalana,Bengal Gram(Gram)(Whole),4230.0,,,
Maharashtra,Jalana,Jowar(Sorghum),3656.0,,,
Maharashtra,Jalana,Wheat,2225.0,,,
Maharashtra,Mumbai,Arhar Dal(Tur Dal),12500.0,,,
Maharashtra,Mumbai,Bajra(Pearl Millet/Cumbu),3600.0,,,
Maharashtra,Mumbai,Bengal Gram Dal (Chana Dal),6200.0,,,
Maharashtra,Mumbai,Bengal Gram(Gram)(Whole),6000.0,,,
Maharashtra,Mumbai,Black Gram (Urd Beans)(Whole),10200.0,,,
Maharashtra,Mumbai,Black Gram Dal (Urd Dal),10500.0,,,
Maharashtra,Mumbai,Green Gram (Moong)(Whole),10500.0,,,
Maharashtra,Mumbai,Green Gram Dal (Moong Dal),11500.0,,,
Maharashtra,Mumbai,Jowar(Sorghum),4800.0,,,
